COMMITMENT,AREA,GOAL,TARGET,Q1,Q2,Q3,Q4
SPIRIT,Spiritual Reading,Read 6 Spiritual Books,6 books,1.75,4.4,,
STEWARDSHIP,Savings,$40k in savings,$40000,$20000,$23887.87,,
STEWARDSHIP,Investments,$500k net worth,$500000,$286000,$324681,,
STEWARDSHIP,Monthly Earnings,$20k/month,$20000/month,$14000/month,$15000/month,,
STEWARDSHIP,Monthly Earnings,Launch paid product + make 1st sale,100%,0%,50% (launched),,
BODY,Strength,Dip 225lbs (5 plates),225lbs,165lbs,180lbs,,
BODY,Strength,Pull-up 165lbs (3.5 plates),165lbs,115lbs,135lbs,,
BODY,Strength,High Bar ATG Squat 365x1,365lbs,185x3,225x8,,
BODY,Strength,Deadlift 600,600lbs,505lbs,515lbs,,
CRAFT,Site/Blog/Email List,Launch biweekly newsletter,Active biweekly system,7 emails,20 emails,,
CRAFT,IG,Reach 100k followers,100000 followers,1324,2382,,
CRAFT,Poetry,Memorize 12 poems,12 poems,1,6,,
CRAFT,Poetry,Get published in 1 magazine,1 magazine,0,0,,
CRAFT,Poetry,First draft of *Maker and the Mountain*,Complete draft,0,0,,
MIND,German,Read 4 German books,4 books,2,3,,
